date,price,total_volume,market_cap,coin_name,price_change,volatility,pct_change,rolling_avg
2019-07-29 00:00:00.000,9534.755426833231,18649152592.72144,170325673262.38525,bitcoin,87.07702541992512,292.00210748827254,0.9216764343597861,10818.097296467917
2019-07-30 00:00:00.000,9510.593552181648,18424113909.50432,169247002246.27844,bitcoin,-24.161874651583275,202.18241090609501,-0.25340843650363265,10736.031892633273
2019-07-31 00:00:00.000,9568.437452164317,20138691741.084118,170790961770.58182,bitcoin,57.84389998266852,179.31578109316223,0.6082049418398183,10692.04323498276
2019-08-01 00:00:00.000,10062.996285663326,22957330875.71389,179525433372.0441,bitcoin,494.5588334990098,234.03281918325467,5.168647817070116,10672.841568097134
2019-08-02 00:00:00.000,10361.312000080692,23668036460.12257,185025579624.96027,bitcoin,298.3157144173656,343.49640004302205,2.9644820086277335,10657.45982882061
2019-08-03 00:00:00.000,10529.17190742764,24128945574.57856,187993708173.329,bitcoin,167.8599073469486,451.515101782824,1.6200642094904794,10609.244312607572
2019-08-04 00:00:00.000,10791.200523159,22296222952.509827,192658484290.18,bitcoin,262.0286157313585,526.6872141099235,2.488596615527894,10594.630809408709
2019-08-05 00:00:00.000,10951.593834840049,23160251364.75935,195575205441.64883,bitcoin,160.39331168104945,565.9192433385117,1.4863342714911854,10593.442308696223
2019-08-06 00:00:00.000,11818.525531066103,30944497414.37189,210831100251.74985,bitcoin,866.9316962260546,713.8528740659333,7.916032216864233,10611.410613809343
2019-08-07 00:00:00.000,11510.164154730011,31588470767.84309,204493918413.86813,bitcoin,-308.3613763360918,625.5605178078962,-2.6091357633871937,10613.868394069548
2019-08-08 00:00:00.000,11970.657556451994,30083670251.80272,213446022648.57452,bitcoin,460.4934017219821,635.5724023136818,4.000754424798947,10604.21422268886
2019-08-09 00:00:00.000,12024.331570998236,26678574728.13537,214023992147.5213,bitcoin,53.67401454624269,609.2099158604395,0.44837983455063846,10586.886366331828
2019-08-10 00:00:00.000,11852.561606995518,26240065034.99351,211775940827.03265,bitcoin,-171.76996400271855,500.06088902163026,-1.4285198556651113,10576.425143602724
2019-08-11 00:00:00.000,11327.842642233223,24949094386.512787,202567916483.04468,bitcoin,-524.7189647622945,392.049544675702,-4.427051148610772,10574.517881991684
2019-08-12 00:00:00.000,11549.998354322472,23042219585.47862,206323428608.19785,bitcoin,222.15571208924848,261.22068695657333,1.961147582161793,10566.03240067225
2019-08-13 00:00:00.000,11381.241355678554,19933740545.556496,203438784510.78015,bitcoin,-168.75699864391754,285.45582051577975,-1.46109976354033,10564.790050678484
2019-08-14 00:00:00.000,10903.6549918801,22886684527.86748,194716791550.1683,bitcoin,-477.58636379845484,405.2595181328043,-4.19625899208409,10585.396513438924
2019-08-15 00:00:00.000,10016.217389275296,26620934497.854107,178691691521.25024,bitcoin,-887.437602604803,671.411916832812,-8.138900242768809,10555.55892113778
2019-08-16 00:00:00.000,10295.87714290961,31003755661.55879,183808182261.62988,bitcoin,279.65975363431426,675.7431070470033,2.792069528500396,10580.793921759969
2019-08-17 00:00:00.000,10324.993597415598,28168163140.752064,184635409004.2465,bitcoin,29.11645450598735,616.1822050087198,0.28279722166302257,10603.050271629854
2019-08-18 00:00:00.000,10224.218706633936,20998246406.66276,182893178091.06567,bitcoin,-100.77489078166218,608.2763248637577,-0.9760286031255894,10589.319037572299
